Exercise_Name,muscle_gp,Equipment,Rating,Description
Rocking Standing Calf Raise,Calves,Barbell,8.7,Average
Goblet Squat,Quadriceps,Kettlebells,8.7,Average
Behind-the-head skullcrusher,Triceps,Barbell,8.7,Average
Seated palms-up wrist curl,Forearms,Barbell,8.7,Average
Reverse Cable Curl,Biceps,Cable,8.7,Average
Dumbbell side bend,Abdominals,Dumbbell,8.6,Average
Lat pull-down,Lats,Cable,8.6,Average
Side Lateral Raise,Shoulders,Dumbbell,8.6,Average
Alternating incline dumbbell biceps curl,Biceps,Dumbbell,8.6,Average
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,8.6,Average
Alternate Hammer Curl,Biceps,Dumbbell,8.6,Average
Decline Push-Up,Chest,Body Only,8.6,Average
Captain's chair knee raise,Abdominals,Other,8.6,Average
Triceps Pushdown,Triceps,Cable,8.6,Average
Low cable overhead triceps extension,Triceps,Cable,8.6,Average
Single-arm cable cross-over,Chest,Cable,8.6,Average
Seated dumbbell biceps curl,Biceps,Dumbbell,8.6,Average
Battle ropes,Shoulders,Other,8.6,Average
Dead bug reach,Abdominals,Body Only,8.6,Average
Deadlift with Chains,Lower Back,Barbell,8.6,Average
Rope Crunch,Abdominals,Cable,8.6,Average
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,8.6,Average
Kettlebell thruster,Glutes,Kettlebells,8.6,Average
Single-Arm Push-Up,Chest,Body Only,8.6,Average
Band Hip Adductions,Adductors,Bands,8.6,Average
Single-arm kettlebell clean,Hamstrings,Kettlebells,8.6,Average
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,8.6,Average
Alternating Kettlebell Press,Shoulders,Kettlebells,8.6,Average
Split Squat with Dumbbells,Quadriceps,Dumbbell,8.6,Average
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,8.6,Average
Standing Olympic Plate Hand Squeeze,Forearms,Other,8.6,Average
Sledgehammer swing,Abdominals,Other,8.6,Average
Kneeling Squat,Glutes,Barbell,8.6,Average
Single-arm kettlebell snatch,Shoulders,Kettlebells,8.6,Average
Close-grip barbell curl,Biceps,Barbell,8.6,Average
Box jump,Hamstrings,Other,8.6,Average
Standing cable crunch,Abdominals,Cable,8.6,Average
Leverage Incline Chest Press,Chest,Machine,8.6,Average
Standing barbell overhead triceps extension,Triceps,Barbell,8.6,Average
Lying cable triceps extension,Triceps,Cable,8.6,Average
Kettlebell Turkish Get-Up (Squat style),Shoulders,,8.6,Average
Crunch - Hands Overhead,Abdominals,Body Only,8.6,Average
Cable Internal Rotation,Shoulders,Cable,8.6,Average
Leg Extensions,Quadriceps,Machine,8.5,Average
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,8.6,Average
Standing Olympic Plate Hand Squeeze,Forearms,Other,8.6,Average
Sledgehammer swing,Abdominals,Other,8.6,Average
Single-arm kettlebell snatch,Shoulders,Kettlebells,8.6,Average
Box jump,Hamstrings,Other,8.6,Average
Standing cable crunch,Abdominals,Cable,8.6,Average
Standing barbell overhead triceps extension,Triceps,Barbell,8.6,Average
Lying cable triceps extension,Triceps,Cable,8.6,Average
Close push-up to wide push-up,Chest,Body Only,8.5,Average
Single-arm dumbbell triceps extension,Triceps,Dumbbell,8.5,Average
Butterfly,Chest,Machine,8.5,Average
Decline dumbbell bench press,Chest,Dumbbell,8.5,Average
V-up,Abdominals,Body Only,8.5,Average
Seated face pull,Shoulders,Cable,8.5,Average
Barbell Bulgarian split squat,Quadriceps,Barbell,8.5,Average
Reverse-grip lat pull-down,Lats,Machine,8.5,Average
Standing Biceps Cable Curl,Biceps,Cable,8.5,Average
Single-arm cable seated row,Middle Back,Cable,8.5,Average
Single-arm kettlebell row,Chest,Dumbbell,8.5,Average
Scissors Jump,Quadriceps,Body Only,8.5,Average
Wide Stance Stiff Legs,Hamstrings,Barbell,8.5,Average
Rack Pull with Bands,Lower Back,Barbell,8.5,Average
Drag curl,Biceps,Barbell,8.5,Average
Close push-up to wide push-up,Chest,Body Only,8.5,Average
Single-arm dumbbell triceps extension,Triceps,Dumbbell,8.5,Average
Butterfly,Chest,Machine,8.5,Average
